0,-4,47,a
1,-35,-92,a
2,6,62,a
3,0,-43,a
4,31,-54,a
5,-18,-34,a
6,-10,-50,a
7,84,56,a
8,-19,89,a
9,73,91,a
10,46,-10,a
11,-61,11,a
12,68,-29,a
13,-54,-88,a
14,-50,78,a
15,16,-16,a
16,23,-10,a
17,83,-24,a
18,65,32,a
19,-67,44,a
20,-37,-59,a
21,-52,-63,a
22,-92,-33,a
23,30,-67,a
24,-22,-99,a
25,-70,-63,a
26,97,-9,a
27,-98,-38,a
28,9,-74,a
29,19,11,a
30,-56,89,a
31,82,-75,a
32,84,-99,a
33,-54,25,a
34,98,-95,a
35,80,48,a
36,97,97,a
37,-19,76,a
38,-19,-66,a
39,53,74,a
40,-76,41,a
41,-71,4,a
42,-26,-26,a
43,92,-95,a
44,83,30,a
45,93,-2,a
46,75,0,a
47,51,-56,a
48,-71,68,a
49,1,82,a
50,78,25,a
51,-17,-16,a
52,-50,-100,a
53,-91,-72,a
54,8,-27,a
55,-96,-69,a
56,-77,-53,a
57,-19,43,a
58,-89,84,a
59,81,-52,a
60,34,62,a
61,79,-38,a
62,-51,67,a
63,-14,-51,a
64,-7,38,a
65,68,12,a
66,-27,19,a
67,-87,12,a
68,-80,63,a
69,-26,51,a
70,76,79,a
71,54,73,a
72,-51,-27,a
73,47,-56,a
74,94,-26,a
75,37,-92,a
76,54,53,a
77,-59,-65,a
78,-17,-44,a
79,-24,-78,a
80,22,-62,a
81,-12,92,a
82,-58,51,a
83,-99,21,a
84,-78,26,a
85,20,-2,a
86,40,7,a
87,71,-25,a
88,91,78,a
89,-71,46,a
90,64,97,a
91,78,13,a
92,-67,33,a
93,55,61,a
94,-81,-79,a
95,51,14,a
96,9,-20,a
97,38,-10,a
98,-27,-21,a
99,77,-55,a
100,31,-54,a
101,-17,2,a
102,-99,-17,a
103,94,43,a
104,93,-56,a
105,-47,-70,a
106,-59,-98,a
107,89,75,a
108,-14,-26,a
109,4,-85,a
110,30,-76,a
111,56,10,a
112,-71,-3,a
113,-62,84,a
114,-25,-95,a
115,-76,87,a
116,-14,80,a
117,-68,73,a
118,18,75,a
119,-31,48,a
120,22,79,a
121,-24,53,a
122,31,97,a
123,-95,66,a
124,-3,6,a
125,-74,-90,a
126,43,56,a
127,30,-85,a
128,43,89,a
129,-90,47,a
130,-87,-15,a
131,98,85,a
132,-9,-80,a
133,88,-43,a
134,6,8,a
135,52,-53,a
136,72,0,a
137,72,45,a
138,92,83,a
139,22,30,a
140,0,-43,a
141,83,-66,a
142,-77,-77,a
143,53,-95,a
144,67,-97,a
145,52,-3,a
146,96,70,a
147,-14,-49,a
148,-3,49,a
149,60,86,a
150,25,95,a
151,26,35,a
152,-5,-29,a
153,19,-10,a
154,-99,-71,a
155,-1,-99,a
156,-93,33,a
157,-3,41,a
158,-48,71,a
159,85,10,a
160,-84,-77,a
161,26,-65,a
162,25,-31,a
163,97,-37,a
164,11,-53,a
165,91,90,a
166,-76,18,a
167,64,26,a
168,29,15,a
169,-14,-76,a
170,70,-68,a
171,-75,-68,a
172,-19,-62,a
173,-47,-17,a
174,44,96,a
175,-83,6,a
176,79,-62,a
177,6,20,a
178,62,-31,a
179,-9,-84,a
180,73,-87,a
181,-74,-2,a
182,-31,-64,a
183,63,20,a
184,28,-43,a
185,-26,-37,a
186,-81,-91,a
187,-78,-21,a
188,76,-69,a
189,-7,-14,a
190,-66,91,a
191,-89,91,a
192,23,-23,a
193,59,-16,a
194,-38,78,a
195,-38,-74,a
196,72,-20,a
197,99,35,a
198,98,-72,a
199,-83,-17,a
200,19,-19,a
201,-89,-89,a
202,-32,-86,a
203,-30,57,a
204,87,-40,a
205,87,92,a
206,45,33,a
207,-98,76,a
208,-30,62,a
209,43,43,a
210,35,-79,a
211,91,-51,a
212,-37,-14,a
213,-18,-39,a
214,-89,81,a
215,-87,-89,a
216,-62,1,a
217,5,14,a
218,38,24,a
219,-80,-17,a
220,56,-59,a
221,69,-39,a
222,4,11,a
223,-65,17,a
224,-53,-48,a
225,50,10,a
226,99,44,a
227,90,-40,a
228,-69,-72,a
229,57,-15,a
230,99,-27,a
231,-89,20,a
232,34,16,a
233,-59,-95,a
234,-54,-21,a
235,-17,28,a
236,73,89,a
237,-34,-19,a
238,44,0,a
239,15,-32,a
240,-99,89,a
241,94,-66,a
242,-86,21,a
243,-73,31,a
244,-60,46,a
245,-4,-67,a
246,-72,-77,a
247,-37,-59,a
248,-34,64,a
249,-57,-89,a
250,28,-9,a
251,-37,41,a
252,-87,-79,a
253,76,94,a
254,-67,-60,a
255,-61,57,a
256,75,-86,a
257,-81,-59,a
258,55,-25,a
259,59,88,a
260,-11,-45,a
261,-32,-6,a
262,53,35,a
263,-60,6,a
264,62,-1,a
265,-6,-50,a
266,11,77,a
267,0,96,a
268,-32,33,a
269,10,88,a
270,18,46,a
271,-49,51,a
272,69,18,a
273,-95,31,a
274,1,-92,a
275,-66,93,a
276,0,22,a
277,-100,7,a
278,23,32,a
279,-39,7,a
280,6,91,a
281,76,-72,a
282,-13,79,a
283,-58,80,a
284,61,-52,a
285,-50,8,a
286,-28,5,a
287,61,-84,a
288,68,46,a
289,66,56,a
290,-1,-77,a
291,-77,-12,a
292,-79,-97,a
293,96,-39,a
294,-75,-34,a
295,37,-9,a
296,-83,90,a
297,81,60,a
298,-3,-50,a
299,85,26,a
300,-60,18,a
301,50,-71,a
302,-49,-20,a
303,97,17,a
304,-5,61,a
305,-52,-9,a
306,-85,-8,a
307,-83,43,a
308,85,75,a
309,42,55,a
310,44,32,a
311,17,-54,a
312,-80,42,a
313,-93,87,a
314,-28,45,a
315,52,-55,a
316,-27,-23,a
317,64,34,a
318,-22,94,a
319,-70,-35,a
320,-4,-89,a
321,77,-27,a
322,27,54,a
323,41,-20,a
324,27,8,a
325,-63,-79,a
326,71,33,a
327,24,51,a
328,94,2,a
329,-100,-64,a
330,28,-5,a
331,-19,-86,a
332,81,-52,a
333,-39,37,a
334,52,100,a
335,84,81,a
336,-86,3,a
337,-54,-8,a
338,53,23,a
339,11,33,a
340,92,16,a
341,75,-22,a
342,34,-60,a
343,-27,63,a
344,-25,-47,a
345,8,-41,a
346,45,-19,a
347,77,-28,a
348,29,-96,a
349,87,-41,a
350,-48,-14,a
351,-64,-28,a
352,-45,-71,a
353,-17,-62,a
354,-44,-38,a
355,95,-67,a
356,-48,-70,a
357,17,79,a
358,-45,-54,a
359,-99,-55,a
360,-62,-33,a
361,-96,83,a
362,48,-85,a
363,81,74,a
364,30,-6,a
365,-78,23,a
366,-85,-14,a
367,-45,-53,a
368,-14,73,a
369,90,12,a
370,-25,98,a
371,77,96,a
372,39,1,a
373,-48,-28,a
374,57,-34,a
375,-15,81,a
376,80,60,a
377,-17,58,a
378,-77,67,a
379,-35,21,a
380,-100,-46,a
381,1,21,a
382,8,55,a
383,14,-77,a
384,74,-100,a
385,34,74,a
386,-96,-57,a
387,45,34,a
388,29,30,a
389,-72,68,a
390,-2,89,a
391,-55,55,a
392,-22,-14,a
393,63,-30,a
394,-45,-78,a
395,-37,23,a
396,70,96,a
397,-65,67,a
398,38,-65,a
399,-5,-99,a
400,-72,1,a
401,-95,-88,a
402,-6,2,a
403,3,17,a
404,-38,19,a
405,18,-4,a
406,47,81,a
407,16,75,a
408,96,80,a
409,85,-44,a
410,11,-23,a
411,71,-54,a
412,-69,-43,a
413,-88,-67,a
414,79,-4,a
415,16,79,a
416,-34,-54,a
417,-27,-10,a
418,-44,-2,a
419,-38,-19,a
420,95,76,a
421,-6,-93,a
422,53,-66,a
423,13,-88,a
424,-65,-91,a
425,68,-61,a
426,54,-12,a
427,-23,-37,a
428,-32,-79,a
429,73,57,a
430,25,83,a
431,-62,64,a
432,75,-32,a
433,39,-2,a
434,-74,1,a
435,1,30,a
436,24,65,a
437,78,100,a
438,-20,98,a
439,-43,13,a
440,73,9,a
441,2,93,a
442,79,33,a
443,12,-29,a
444,85,-11,a
445,51,-29,a
446,4,61,a
447,-21,87,a
448,-47,-92,a
449,-69,-91,a
450,-24,6,a
451,35,-50,a
452,-15,-39,a
453,-8,-1,a
454,-77,75,a
455,70,71,a
456,-56,73,a
457,62,93,a
458,4,-100,a
459,11,20,a
460,-27,0,a
461,-39,-88,a
462,-82,-32,a
463,50,-54,a
464,65,47,a
465,-98,-72,a
466,45,34,a
467,-97,-78,a
468,-74,43,a
469,-59,-98,a
470,-67,61,a
471,97,-96,a
472,-48,85,a
473,-65,20,a
474,81,87,a
475,-24,-4,a
476,57,-91,a
477,32,-4,a
478,-22,-17,a
479,-33,-23,a
480,19,40,a
481,-97,-8,a
482,94,86,a
483,54,-84,a
484,74,85,a
485,50,9,a
486,-83,-14,a
487,-92,-89,a
488,49,29,a
489,-34,-66,a
490,80,-14,a
491,25,-13,a
492,-72,31,a
493,-99,20,a
494,-54,-36,a
495,20,96,a
496,76,84,a
497,9,20,a
498,-71,71,a
499,32,62,a
500,-27,81,a
501,-3,10,a
502,80,81,a
503,8,-42,a
504,-21,-88,a
505,49,19,a
506,-69,20,a
507,40,-14,a
508,-94,-47,a
509,100,-38,a
510,-44,10,a
511,94,-76,a
512,67,-69,a
513,-19,-32,a
514,75,-69,a
515,90,-84,a
516,-38,-26,a
517,27,-76,a
518,18,-82,a
519,5,-30,a
520,3,43,a
521,-2,-27,a
522,-89,68,a
523,0,7,a
524,0,56,a
525,-37,31,a
526,92,34,a
527,47,68,a
528,-82,64,a
529,-29,25,a
530,63,5,a
531,57,14,a
532,-25,10,a
533,72,76,a
534,89,-25,a
535,-26,-32,a
536,81,54,a
537,-25,39,a
538,-97,99,a
539,48,-18,a
540,77,16,a
541,-35,-71,a
542,-41,-35,a
543,94,-80,a
544,-41,-15,a
545,5,-10,a
546,10,-21,a
547,65,88,a
548,73,-70,a
549,-22,29,a
550,-2,-4,a
551,-40,-97,a
552,-51,-100,a
553,-2,-33,a
554,39,-78,a
555,-18,-15,a
556,-14,82,a
557,-7,49,a
558,30,50,a
559,-15,81,a
560,12,-57,a
561,70,82,a
562,77,43,a
563,-51,17,a
564,22,43,a
565,88,54,a
566,-18,-36,a
567,-26,66,a
568,-42,-25,a
569,61,-22,a
570,81,-48,a
571,31,-71,a
572,-85,-28,a
573,95,-99,a
574,-22,-42,a
575,72,-41,a
576,16,30,a
577,1,-36,a
578,54,34,a
579,74,-57,a
580,77,49,a
581,-18,10,a
582,-24,62,a
583,46,92,a
584,34,-35,a
585,-56,99,a
586,-71,-2,a
