134,874
579,945
200,921
618,873
964,160
996,548
904,304
7,289
129,554
836,233
88,254
318,535
192,50
808,671
887,742
733,959
540,921
932,581
136,928
739,173
457,231
648,700
349,441
828,805
532,78
849,972
524,719
356,565
78,437
316,618
92,544
752,583
239,663
500,146
429,860
245,757
59,871
118,889
361,323
414,315
401,933
383,265
588,887
281,238
725,540
903,758
631,577
750,385
384,370
321,368
183,38
362,176
375,355
169,953
141,968
221,317
627,812
901,478
186,647
557,619
845,543
100,695
298,695
45,616
593,299
246,675
124,613
438,566
666,664
443,163
46,608
403,213
934,211
62,161
419,956
399,559
621,30
693,785
831,977
400,338
509,847
779,921
314,63
468,134
512,16
187,471
835,341
487,331
75,275
700,814
583,166
319,551
402,728
300,560
69,145
687,261
868,450
505,260
918,991
665,635
459,112
718,748
351,233
209,453
471,775
77,997
93,35
675,752
807,539
115,587
619,524
736,375
408,330
472,917
483,21
993,110
146,626
543,442
754,965
663,336
761,748
424,114
382,127
930,454
894,717
52,841
162,199
705,841
55,95
153,540
597,991
759,476
18,221
74,815
698,630
360,218
139,667
48,578
616,664
247,932
645,925
525,118
495,413
376,249
407,25
178,146
102,457
917,653
144,595
995,484
655,281
335,318
258,792
458,344
827,954
692,674
915,682
446,970
680,204
806,250
490,642
306,85
364,981
259,914
876,101
699,0
110,312
340,639
31,663
531,100
968,893
553,736
203,542
323,924
492,755
346,620
207,965
584,509
181,354
342,386
768,392
749,637
442,121
709,426
514,623
826,729
82,333
90,291
956,363
377,834
603,761
453,138
962,121
506,148
671,604
469,409
608,818
819,160
38,422
633,227
669,633
73,240
610,225
547,190
452,474
44,548
65,40
732,905
642,423
40,239
449,845
123,529
379,707
252,542
770,0
248,478
735,260
120,660
168,152
941,498
326,76
507,107
716,323
979,377
17,980
801,290
552,402
262,305
355,940
291,609
79,629
843,155
238,821
130,439
980,869
811,693
850,63
892,809
730,298
928,17
385,31
498,603
549,153
324,159
522,33
338,219
599,962
833,536
974,650
68,101
939,718
635,857
516,798
745,625
391,652
913,312
706,659
387,426
15,807
990,486
907,376
785,158
106,282
708,358
35,35
519,211
39,577
27,735
852,396
72,992
14,701
921,943
486,675
658,920
851,253
303,781
95,794
951,700
1,378
392,462
817,155
409,33
743,955
879,802
815,401
295,806
563,219
173,857
957,542
983,820
493,952
863,221
944,59
844,436
161,518
963,191
793,77
853,916
416,863
748,928
986,297
107,459
265,743
367,591
940,120
960,648
572,697
984,98
707,262
891,983
842,537
882,791
422,172
914,590
881,884
5,856
461,80
454,249
769,449
460,38
704,754
126,141
4,701
734,950
765,531
565,684
26,438
592,917
795,104
634,630
796,476
174,562
720,668
64,622
602,649
702,886
871,808
622,768
431,933
568,716
947,868
731,145
292,26
908,6
175,943
854,852
715,873
787,350
329,545
274,945
228,352
912,796
861,292
344,657
444,867
966,37
895,284
728,340
365,672
199,299
976,133
760,911
958,774
135,841
336,196
711,915
53,136
496,295
554,207
232,265
363,105
570,112
142,166
70,212
485,232
838,401
223,790
747,361
302,546
67,704
279,906
313,36
222,28
309,333
104,118
812,916
176,736
440,732
869,674
598,754
521,861
341,59
499,16
395,443
339,406
6,198
201,937
405,236
883,200
236,473
225,132
111,553
640,837
477,129
889,661
967,322
294,143
587,300
955,2
536,479
191,554
358,993
290,657
690,647
803,483
558,446
653,896
923,292
910,307
156,612
877,46
308,506
466,988
839,80
539,742
774,562
773,131
177,573
937,62
977,933
775,132
657,785
312,825
212,537
959,417
197,960
753,330
767,772
263,647
50,492
902,592
929,355
277,275
54,535
742,391
253,954
464,660
696,252
667,482
880,747
465,348
691,766
10,869
813,417
398,208
470,121
125,5
797,494
143,507
8,689
999,335
949,749
865,583
800,840
41,935
101,228
491,238
617,749
164,770
214,507
586,687
997,717
898,461
147,776
307,349
978,510
510,885
436,80
420,603
301,790
299,72
195,71
57,58
938,899
158,876
284,852
780,638
240,632
950,338
165,714
337,15
656,217
478,966
166,997
727,950
196,446
561,380
982,714
132,269
381,194
188,89
922,241
776,517
526,431
412,346
784,693
694,791
380,9
3,816
703,511
413,275
762,230
919,137
799,687
517,254
481,925
834,611
71,415
936,579
829,198
604,798
870,309
972,280
417,671
772,872
476,488
571,760
264,734
814,122
133,155
822,876
91,991
235,411
550,362
388,869
504,329
933,112
304,422
411,486
832,590
757,547
737,637
860,62
127,177
713,812
149,278
190,355
566,727
359,881
205,866
825,583
427,290
841,897
544,734
137,797
369,994
501,991
638,164
988,98
315,142
899,344
475,900
992,17
159,933
322,299
494,222
590,608
511,848
620,291
20,793
953,636
717,469
116,959
353,161
823,60
372,172
905,700
189,882
900,251
249,43
193,332
439,653
198,542
441,884
678,839
242,836
885,838
61,665
729,962
257,282
278,769
615,205
998,688
576,572
109,533
108,997
674,51
434,322
373,175
267,140
646,361
215,798
185,74
975,459
909,91
688,386
673,222
821,102
234,624
535,774
970,351
81,564
647,675
28,181
489,796
333,852
920,704
681,68
237,830
789,121
423,136
113,654
350,810
283,337
564,788
24,887
577,842
695,408
167,409
965,745
569,974
488,772
325,563
479,252
651,873
97,910
859,279
701,553
49,566
94,249
13,722
243,729
630,263
629,170
305,106
117,287
218,581
194,369
83,712
289,965
632,474
310,272
798,990
573,576
636,332
911,639
58,931
390,660
764,774
886,131
649,421
447,361
317,125
804,329
261,479
830,993
875,839
273,806
282,359
448,373
12,79
29,762
330,716
639,791
994,634
637,975
145,626
473,452
791,46
155,105
857,394
208,314
80,776
260,676
682,334
9,375
76,597
121,190
396,48
219,119
148,510
370,930
293,736
269,156
594,611
585,52
650,783
455,493
171,565
528,819
497,853
23,108
538,582
689,200
916,665
546,509
766,239
529,318
723,206
837,94
435,290
484,253
677,165
926,152
541,170
719,532
873,497
